anno_inizio,ordine_scuola,comune,pro_com_t,alunni,alunni_paritaria,quota_paritaria
2024,SCUOLA PRIMARIA,PARMA,034027,7943,879,0.11066347727558856
2024,SCUOLA PRIMARIA,SALSOMAGGIORE TERME,034032,791,124,0.15676359039190899
2024,SCUOLA SECONDARIA I GRADO,PARMA,034027,5335,677,0.12689784442361762
2024,SCUOLA PRIMARIA,FIDENZA,034014,1387,344,0.2480173035328046
2024,SCUOLA SECONDARIA II GRADO,PARMA,034027,15868,204,0.012856062515754978
2024,SCUOLA SECONDARIA II GRADO,SALSOMAGGIORE TERME,034032,531,33,0.062146892655367235
2024,SCUOLA SECONDARIA II GRADO,TRAVERSETOLO,034042,61,61,1
2024,SCUOLA SECONDARIA I GRADO,BUSSETO,034007,274,101,0.3686131386861314
2024,SCUOLA SECONDARIA I GRADO,SALSOMAGGIORE TERME,034032,586,164,0.27986348122866894
2024,SCUOLA SECONDARIA I GRADO,FIDENZA,034014,740,119,0.1608108108108108
2015,SCUOLA SECONDARIA I GRADO,POLESINE ZIBELLO,034050,61,0,0
2015,SCUOLA PRIMARIA,BORGO VAL DI TARO,034006,332,0,0
2015,SCUOLA PRIMARIA,LESIGNANO DE' BAGNI,034019,210,0,0
2015,SCUOLA PRIMARIA,VARANO DE' MELEGARI,034045,140,0,0
2015,SCUOLA SECONDARIA II GRADO,SALSOMAGGIORE TERME,034032,935,0,0
2015,SCUOLA SECONDARIA I GRADO,SORAGNA,034036,126,0,0
2015,SCUOLA PRIMARIA,NEVIANO DEGLI ARDUINI,034024,106,0,0
2015,SCUOLA PRIMARIA,BUSSETO,034007,269,0,0
2015,SCUOLA SECONDARIA I GRADO,FELINO,034013,222,0,0
2015,SCUOLA SECONDARIA I GRADO,VARSI,034046,18,0,0
2015,SCUOLA SECONDARIA I GRADO,ROCCABIANCA,034030,81,0,0
2015,SCUOLA PRIMARIA,POLESINE ZIBELLO,034050,114,0,0
2015,SCUOLA SECONDARIA I GRADO,BARDI,034002,39,0,0
2015,SCUOLA PRIMARIA,SISSA TRECASALI,034049,391,0,0
2015,SCUOLA PRIMARIA,MEDESANO,034020,568,0,0
2015,SCUOLA PRIMARIA,PELLEGRINO PARMENSE,034028,29,0,0
2015,SCUOLA PRIMARIA,BORE,034005,12,0,0
2015,SCUOLA PRIMARIA,SAN SECONDO PARMENSE,034033,255,0,0
2015,SCUOLA SECONDARIA I GRADO,SAN SECONDO PARMENSE,034033,141,0,0
2015,SCUOLA PRIMARIA,SORBOLO MEZZANI,034051,670,0,0
2015,SCUOLA SECONDARIA I GRADO,SISSA TRECASALI,034049,211,0,0
2015,SCUOLA PRIMARIA,TERENZO,034038,14,0,0
2015,SCUOLA PRIMARIA,NOCETO,034025,604,0,0
2015,SCUOLA PRIMARIA,BERCETO,034004,59,0,0
2015,SCUOLA PRIMARIA,TRAVERSETOLO,034042,501,0,0
2015,SCUOLA PRIMARIA,SOLIGNANO,034035,32,0,0
2015,SCUOLA PRIMARIA,COLORNO,034010,430,0,0
2015,SCUOLA PRIMARIA,BEDONIA,034003,103,0,0
2015,SCUOLA SECONDARIA II GRADO,LANGHIRANO,034018,239,0,0
2015,SCUOLA PRIMARIA,FORNOVO DI TARO,034017,305,0,0
2015,SCUOLA PRIMARIA,COMPIANO,034011,52,0,0
2015,SCUOLA PRIMARIA,TORNOLO,034040,28,0,0
2015,SCUOLA SECONDARIA II GRADO,BORGO VAL DI TARO,034006,391,0,0
2015,SCUOLA PRIMARIA,FONTEVIVO,034016,290,0,0
2015,SCUOLA PRIMARIA,MONTECHIARUGOLO,034023,469,0,0
2015,SCUOLA PRIMARIA,MONCHIO DELLE CORTI,034022,23,0,0
2015,SCUOLA PRIMARIA,PALANZANO,034026,20,0,0
2015,SCUOLA PRIMARIA,TIZZANO VAL PARMA,034039,83,0,0
2015,SCUOLA SECONDARIA II GRADO,FIDENZA,034014,1776,0,0
2015,SCUOLA SECONDARIA II GRADO,FORNOVO DI TARO,034017,359,0,0
2015,SCUOLA PRIMARIA,SORAGNA,034036,220,0,0
2015,SCUOLA SECONDARIA I GRADO,COLLECCHIO,034009,354,0,0
2015,SCUOLA PRIMARIA,SALA BAGANZA,034031,258,0,0
2015,SCUOLA SECONDARIA I GRADO,CALESTANO,034008,44,0,0
2015,SCUOLA SECONDARIA I GRADO,TRAVERSETOLO,034042,265,0,0
2015,SCUOLA PRIMARIA,FELINO,034013,462,0,0
2015,SCUOLA PRIMARIA,CORNIGLIO,034012,68,0,0
2015,SCUOLA PRIMARIA,ROCCABIANCA,034030,115,0,0
2015,SCUOLA PRIMARIA,VARSI,034046,28,0,0
2015,SCUOLA PRIMARIA,BARDI,034002,62,0,0
2015,SCUOLA SECONDARIA I GRADO,TORRILE,034041,218,0,0
2015,SCUOLA SECONDARIA I GRADO,NEVIANO DEGLI ARDUINI,034024,72,0,0
2015,SCUOLA SECONDARIA I GRADO,SORBOLO MEZZANI,034051,391,0,0
2015,SCUOLA SECONDARIA I GRADO,FONTEVIVO,034016,133,0,0
2015,SCUOLA PRIMARIA,TORRILE,034041,429,0,0
2015,SCUOLA SECONDARIA I GRADO,FONTANELLATO,034015,156,0,0
2015,SCUOLA SECONDARIA I GRADO,ALBARETO,034001,35,0,0
2015,SCUOLA SECONDARIA I GRADO,BORGO VAL DI TARO,034006,195,0,0
2015,SCUOLA SECONDARIA I GRADO,SOLIGNANO,034035,48,0,0
2015,SCUOLA SECONDARIA I GRADO,PELLEGRINO PARMENSE,034028,23,0,0
2015,SCUOLA SECONDARIA I GRADO,VARANO DE' MELEGARI,034045,90,0,0
2015,SCUOLA SECONDARIA I GRADO,BERCETO,034004,20,0,0
2015,SCUOLA SECONDARIA I GRADO,FORNOVO DI TARO,034017,223,0,0
2015,SCUOLA SECONDARIA I GRADO,LANGHIRANO,034018,274,0,0
2015,SCUOLA PRIMARIA,COLLECCHIO,034009,759,0,0
2015,SCUOLA SECONDARIA I GRADO,BEDONIA,034003,119,0,0
2015,SCUOLA SECONDARIA I GRADO,PALANZANO,034026,22,0,0
2015,SCUOLA SECONDARIA I GRADO,MEDESANO,034020,251,0,0
2015,SCUOLA SECONDARIA I GRADO,TORNOLO,034040,12,0,0
2015,SCUOLA SECONDARIA I GRADO,NOCETO,034025,371,0,0
2015,SCUOLA SECONDARIA I GRADO,TIZZANO VAL PARMA,034039,36,0,0
2015,SCUOLA SECONDARIA I GRADO,CORNIGLIO,034012,21,0,0
2015,SCUOLA SECONDARIA II GRADO,SAN SECONDO PARMENSE,034033,627,0,0
2015,SCUOLA SECONDARIA I GRADO,COLORNO,034010,292,0,0
2015,SCUOLA SECONDARIA I GRADO,MONTECHIARUGOLO,034023,278,0,0
2015,SCUOLA SECONDARIA I GRADO,LESIGNANO DE' BAGNI,034019,113,0,0
2015,SCUOLA PRIMARIA,LANGHIRANO,034018,501,0,0
2015,SCUOLA PRIMARIA,FONTANELLATO,034015,263,0,0
2015,SCUOLA PRIMARIA,CALESTANO,034008,67,0,0
