"territorio","anno","totale","indice"
"Reggio nell'Emilia",2025,530390,100.286077859313
"Reggio nell'Emilia",2026,531753,100.54379373654
"Reggio nell'Emilia",2027,532975,100.774849350605
"Reggio nell'Emilia",2028,534065,100.980946420434
"Reggio nell'Emilia",2029,535027,101.162841265549
"Reggio nell'Emilia",2030,535867,101.321668365234
"Reggio nell'Emilia",2031,536649,101.469528831846
"Reggio nell'Emilia",2032,537354,101.602830147652
"Reggio nell'Emilia",2033,537981,101.721383232774
"Reggio nell'Emilia",2034,538538,101.826700726256
"Reggio nell'Emilia",2035,539024,101.918593548216
"Reggio nell'Emilia",2036,539400,101.989687583313
"Reggio nell'Emilia",2037,539730,102.052083943904
"Reggio nell'Emilia",2038,540036,102.10994238736
"Reggio nell'Emilia",2039,540303,102.160426715475
"Reggio nell'Emilia",2040,540525,102.202402448963
"Reggio nell'Emilia",2041,540686,102.232844309736
"Reggio nell'Emilia",2042,540777,102.250050578868
"Reggio nell'Emilia",2043,540786,102.251752297793
"Reggio nell'Emilia",2044,540701,102.235680507944
"Reggio nell'Emilia",2045,540510,102.199566250754
"Reggio nell'Emilia",2046,540197,102.140384248133
"Reggio nell'Emilia",2047,539743,102.054541982351
"Reggio nell'Emilia",2048,539139,101.940337734483
"Reggio nell'Emilia",2049,538374,101.795691625841
"Reggio nell'Emilia",2050,537439,101.618901937502
"Rimini",2024,339837,100
"Rimini",2025,341030,100.351050650753
"Rimini",2026,342066,100.655902682757
"Rimini",2027,342955,100.917498683192
"Rimini",2028,343708,101.139075497959
"Rimini",2029,344335,101.323575714239
"Rimini",2030,344847,101.474236177932
"Rimini",2031,345294,101.605769824945
"Rimini",2032,345671,101.716705361688
"Rimini",2033,345982,101.808219823033
"Rimini",2034,346232,101.88178450257
"Rimini",2035,346427,101.93916495261
"Rimini",2036,346542,101.973004705197
"Rimini",2037,346624,101.997133920085
"Rimini",2038,346687,102.015672219329
"Rimini",2039,346722,102.025971274464
"Rimini",2040,346724,102.0265597919
"Rimini",2041,346685,102.015083701892
"Rimini",2042,346600,101.99007171085
"Rimini",2043,346462,101.949464007745
"Rimini",2044,346264,101.891200781551
"Rimini",2045,346002,101.814104997396
"Rimini",2046,345665,101.714939809379
"Rimini",2047,345242,101.590468371602
"Rimini",2048,344725,101.438336614318
"Rimini",2049,344109,101.257073243938
"Rimini",2050,343389,101.045206966869
