"territorio","anno","indicatore","valore"
"Forlì-Cesena",2033,"80 anni e più",9.37212364411562
"Modena",2033,"65 anni e più",27.4019661184106
"Modena",2033,"80 anni e più",8.76599003579895
"Parma",2033,"65 anni e più",26.7116721512692
"Parma",2033,"80 anni e più",8.4637116827325
"Piacenza",2033,"65 anni e più",28.24831700509
"Piacenza",2033,"80 anni e più",8.89798040610804
"Ravenna",2033,"65 anni e più",29.5389207325955
"Ravenna",2033,"80 anni e più",9.58956968831215
"Reggio nell'Emilia",2033,"65 anni e più",26.7553691786653
"Reggio nell'Emilia",2033,"80 anni e più",8.30535821167408
"Rimini",2033,"65 anni e più",28.7310175791524
"Rimini",2033,"80 anni e più",9.27717947383938
"Bologna",2034,"65 anni e più",28.2172963144542
"Bologna",2034,"80 anni e più",9.09348805993593
"Ferrara",2034,"65 anni e più",32.1658599567441
"Ferrara",2034,"80 anni e più",10.4260439877551
"Forlì-Cesena",2034,"65 anni e più",29.1785171059786
"Forlì-Cesena",2034,"80 anni e più",9.42037882983228
"Modena",2034,"65 anni e più",27.8725103764389
"Modena",2034,"80 anni e più",8.82743146875932
"Parma",2034,"65 anni e più",27.1932249019455
"Parma",2034,"80 anni e più",8.47393616909051
"Piacenza",2034,"65 anni e più",28.6623224933915
"Piacenza",2034,"80 anni e più",8.89326038400852
"Ravenna",2034,"65 anni e più",30.0269466048555
"Ravenna",2034,"80 anni e più",9.59580092716754
"Reggio nell'Emilia",2034,"65 anni e più",27.3160432802203
"Reggio nell'Emilia",2034,"80 anni e più",8.38735314379513
"Rimini",2034,"65 anni e più",29.2995488600195
"Rimini",2034,"80 anni e più",9.34974612545273
"Bologna",2035,"65 anni e più",28.6778474584805
"Bologna",2035,"80 anni e più",9.14886198565618
"Ferrara",2035,"65 anni e più",32.574563377008
"Ferrara",2035,"80 anni e più",10.5018966765697
"Forlì-Cesena",2035,"65 anni e più",29.6395153475771
"Forlì-Cesena",2035,"80 anni e più",9.46544510352322
"Modena",2035,"65 anni e più",28.3599931377595
"Modena",2035,"80 anni e più",8.93546062789501
"Parma",2035,"65 anni e più",27.6672199816123
"Parma",2035,"80 anni e più",8.523995565065
"Piacenza",2035,"65 anni e più",29.0637319764825
"Piacenza",2035,"80 anni e più",8.96196816129428
"Ravenna",2035,"65 anni e più",30.5172805559598
"Ravenna",2035,"80 anni e più",9.64427866412379
"Reggio nell'Emilia",2035,"65 anni e più",27.8836271348692
"Reggio nell'Emilia",2035,"80 anni e più",8.50608319450268
"Rimini",2035,"65 anni e più",29.8561016092949
"Rimini",2035,"80 anni e più",9.44850977845132
