"territorio","anno","valore"
"Forlì-Cesena",2031,45.1587123606043
"Modena",2031,42.3848472757902
"Parma",2031,40.9409016268558
"Piacenza",2031,44.5583622623818
"Ravenna",2031,46.7183469014856
"Reggio nell'Emilia",2031,40.5621756622234
"Rimini",2031,44.3869180682911
"Bologna",2032,44.1260254450729
"Ferrara",2032,53.0898327749147
"Forlì-Cesena",2032,46.1623543677389
"Modena",2032,43.3971876230498
"Parma",2032,41.9350460297047
"Piacenza",2032,45.523353857014
"Ravenna",2032,47.8480394838156
"Reggio nell'Emilia",2032,41.7504458017619
"Rimini",2032,45.5881252921926
"Bologna",2033,45.0831384071421
"Ferrara",2033,53.9657877346355
"Forlì-Cesena",2033,47.1515221392717
"Modena",2033,44.4556176787382
"Parma",2033,42.960270377896
"Piacenza",2033,46.4658286537401
"Ravenna",2033,48.9371520501259
"Reggio nell'Emilia",2033,42.8920502291541
"Rimini",2033,46.7670984102489
"Bologna",2034,46.0809934751888
"Ferrara",2034,55.0160791337621
"Forlì-Cesena",2034,48.2585270835924
"Modena",2034,45.5424815458781
"Parma",2034,44.0400326657805
"Piacenza",2034,47.4366945512096
"Ravenna",2034,50.1251423040681
"Reggio nell'Emilia",2034,44.1689810992178
"Rimini",2034,48.1041889931053
"Bologna",2035,47.189267016116
"Ferrara",2035,56.1501913347202
"Forlì-Cesena",2035,49.4267079759827
"Modena",2035,46.7300625289748
"Parma",2035,45.1273621972939
"Piacenza",2035,48.4150068739845
"Ravenna",2035,51.393499011093
"Reggio nell'Emilia",2035,45.5007810513314
"Rimini",2035,49.4731202854669
"Bologna",2036,48.3012743391224
"Ferrara",2036,57.2216199955395
"Forlì-Cesena",2036,50.6273597016622
"Modena",2036,47.8679373289683
"Parma",2036,46.1970257531299
"Piacenza",2036,49.375824853883
"Ravenna",2036,52.6680544713332
"Reggio nell'Emilia",2036,46.8145262245129
"Rimini",2036,50.8572118286059
"Bologna",2037,49.5000601574225
"Ferrara",2037,58.2771817948597
"Forlì-Cesena",2037,51.8762681790011
"Modena",2037,49.1655386027303
"Parma",2037,47.2858385398799
"Piacenza",2037,50.3846905799685
"Ravenna",2037,53.9536206519361
"Reggio nell'Emilia",2037,48.2224194572339
"Rimini",2037,52.3139951715561
"Bologna",2038,50.6261420062351
"Ferrara",2038,59.4584444162329
"Forlì-Cesena",2038,53.1354604525336
"Modena",2038,50.4429791503863
"Parma",2038,48.418877287871
"Piacenza",2038,51.3392211638008
"Ravenna",2038,55.327807283428
"Reggio nell'Emilia",2038,49.7316230268688
"Rimini",2038,53.7213895551867
"Bologna",2039,51.8219929055143
"Ferrara",2039,60.559805953882
"Forlì-Cesena",2039,54.4390071136412
"Modena",2039,51.7944352450031
"Parma",2039,49.5500990237832
"Piacenza",2039,52.3354262072818
"Ravenna",2039,56.6604956170678
"Reggio nell'Emilia",2039,51.2096457095403
"Rimini",2039,55.1899049230922
"Bologna",2040,52.9732777380181
"Ferrara",2040,61.7516025035236
"Forlì-Cesena",2040,55.886639322803
"Modena",2040,53.1676550880166
"Parma",2040,50.7333613246725
"Piacenza",2040,53.4643074902678
"Ravenna",2040,58.0478286927094
"Reggio nell'Emilia",2040,52.7381883629379
"Rimini",2040,56.7190095123056
