indicatore,domanda,tavola,anno,sesso,variabile,categoria,risposta,percentuale
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Nord-est,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Centro,Tutti i giorni,13.319531138619078
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Centro,Qualche volta a settimana,54.57672925176815
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Centro,Una volta a settimana,18.20587998289189
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Centro,Qualche volta al mese (meno di 4),10.646905560342244
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Centro,Qualche volta l'anno,1.7376715201629815
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Centro,Mai,1.513075926534306
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Centro,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Sud,Tutti i giorni,19.743469801433154
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Sud,Qualche volta a settimana,51.3267166981906
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Sud,Una volta a settimana,16.9744486702326
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Sud,Qualche volta al mese (meno di 4),8.009958849410538
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Sud,Qualche volta l'anno,1.0685933548916322
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Sud,Mai,2.8766431423593457
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Sud,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Isole,Tutti i giorni,20.029057623559595
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Isole,Qualche volta a settimana,49.514412359471635
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Isole,Una volta a settimana,16.258590668288374
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Isole,Qualche volta al mese (meno di 4),10.24928187743302
